sentence,label,idx
BDFHJLMP,0,172
BDEHJKMO,0,173
ADEHJLMP,1,174
ACEHJKMP,1,175
BDEHILMO,0,176
BCEHJKMP,0,177
ADEGJLMP,1,178
BDFGJKMO,0,179
ACFHJKNP,1,180
ADFHJLMP,0,181
BDFHJLMP,0,182
ADEGJLNP,1,183
ACFGJKNP,1,184
ADEHJLMO,0,185
BDFGJLMP,0,186
ADFHJLMP,0,187
ACEHJLMO,0,188
BCEHJLMP,1,189
BDFGIKNO,1,190
ACFHIKNP,1,191
ADEGJLMO,1,192
BDEHJKMP,0,193
ADEHJLMP,1,194
ACFHJLMP,1,195
ACEHILMO,1,196
BDEHJKMO,0,197
BCEHJKMP,0,198
ACEHJKNP,1,199
ADFHJLMO,0,200
ADEGJLMP,1,201
ADEHJKMP,0,202
BCEHIKNO,0,203
BDEHILMP,1,204
BDFHJLMP,0,205
BCEHJKMP,0,206
ACFHJKNP,1,207
BCEHJKMP,0,208
ACEHJKNO,1,209
ACEHILMO,1,210
ACEHIKMP,1,211
ACEHIKMP,1,212
ACFGJKNO,1,213
BDEHJKMO,0,214
ACFGJKNO,1,215
BCEHIKMO,0,216
ACEGJKNO,1,217
ADFHJLMP,0,218
ADEGILMO,1,219
ADEGJLMP,1,220
ADFHJKMO,0,221
BDEHJKNO,0,222
ADFGILNO,1,223
BDFHJLMO,0,224
ADEHJKMO,0,225
ACEHJKNO,1,226
ADEGILMO,1,227
BDFHJLMP,0,228
ACEHIKMP,1,229
ADFHJLMO,0,230
BCEHILMO,0,231
ADEGJLNO,1,232
BCEHJKMO,0,233
BCEHJKMO,0,234
ACFGJKNO,1,235
ACEHILMP,1,236
ADEHJKMP,1,237
ADEGJLMP,1,238
BCEGJKMP,0,239
ADEGILMO,1,240
BDFHJKMP,0,241
ADFGJKNO,1,242
BDEHJLMO,0,243
BCEHJKMP,0,244
ADFGJKNO,1,245
BDEHJKMO,0,246
BDEGIKMP,1,247
BDEHJKMP,0,248
ACEGILMO,1,249
BDFHJKMP,0,250
BDEHIKMP,1,251
BCEHJKMP,0,252
ACEHILMP,1,253
ADEHJKMO,0,254
BDEHIKMO,1,255
BCFHIKNP,1,256
BCFGJKNO,1,257
BDFHJLMO,0,258
ACEGJLMP,1,259
BDEHJLMP,0,260
ADEHJLMP,0,261
BCEHJKMP,0,262
ADFHJLMO,0,263
ADFHJKNP,1,264
BDEHIKMP,1,265
ACEHIKMO,1,266
ACEGJLMP,1,267
ADEGJLMO,1,268
BCFHJLMO,0,269
BDFGJKNP,1,270
BCEHJKMO,0,271
ADFHJLMP,0,272
BCEHJKMO,0,273
BDFHJKMO,0,274
ACFHJLMO,1,275
ACFGJKNP,1,276
BDEHJKMP,0,277
ACFHJKMP,1,278
BDEHJLMO,1,279
ACEHIKMP,1,280
ADFGJKNO,1,281
BCEHIKMO,1,282
BDEHJKMP,0,283
ADEHJLMP,0,284
ACEHILMO,1,285
ADFHJLMO,0,286
ACEGJKMP,1,287
BDEHJKMP,0,288
ADEHILMO,1,289
ACFGJLMO,1,290
BDFGJLMP,0,291
ACEHJLMP,1,292
BDFGJKNO,1,293
ACEHJKMP,1,294
ACEHIKMP,1,295
ADFHJLMP,0,296
BDFHJKMO,0,297
ACEHJKMO,0,298
ACFGJKNO,1,299
ACFGJKNO,1,300
BCEHJKMP,0,301
BCFHILMO,0,302
ACEGJLMP,1,303
BDFHJKMO,0,304
ADFHJLMO,0,305
BDEHILMP,1,306
BCEGJKMO,0,307
ADFHJKMO,0,308
BCEHJKMO,0,309
ADEHJLMP,0,310
ACEHJKMP,1,311
ACEHJLMO,1,312
ADEGILNO,1,313
ACEHIKNO,1,314
ADEGJKNP,1,315
ACEHILMP,1,316
BCEHJKMO,0,317
ADFHJLMP,0,318
BCEHJLMO,0,319
ADEHJKMO,0,320
BDFHJKMO,0,321
ACEHJKNO,0,322
ADEHJLMP,0,323
ACFGJKNO,1,324
ADEHJLMP,0,325
ADEHJKMP,0,326
ADEGILMP,1,327
BCEHJKMP,1,328
ACEGJLNO,1,329
ADEHJKMP,0,330
BDEHILMO,1,331
ACEGILMO,1,332
ADFHJLMO,0,333
BDFGJLNO,1,334
BCEHILMO,1,335
ACFGJKNP,1,336
ADFHJLMP,0,337
ACEGJKMP,1,338
ACEHJKMP,0,339
BCEHJKMP,0,340
ACEHJKMP,0,341
ACFGIKNO,1,342
ACEGILMP,1,343
ADEHJLMO,1,344
ACEHJLMP,0,345
BDEHJLMP,0,346
ACFGJKNP,1,347
ACFGJKNP,1,348
ACFHIKNP,1,349
BDEHJLMO,1,350
ADEHJLNO,1,351
ACFGILMP,1,352
ACEHJLMP,0,353
BCEHJLMP,0,354
BCEHIKNO,1,355
BCEHJKMO,0,356
ADEHJLMP,0,357
ADEHJKMP,0,358
ADEHJLMO,1,359
ACEGILMO,1,360
ADEGILMP,1,361
BDEGJKMP,0,362
ACEHIKMP,1,363
ACEGJLMP,1,364
ADFHJLMO,0,365
ACFHJLNO,1,366
ADEHJLMP,0,367
ADFHJLMP,0,368
ACEGJLNP,1,369
BCEHILMO,1,370
ADEHJLMP,0,371
ACFGJKNO,1,372
ADEGILMP,1,373
ACFGJLMP,1,374
ACFGJLNP,1,375
BDEHJKMO,0,376
ADFHJLMO,0,377
ACEHJLMP,1,378
BCEHJKMO,0,379
ADFHJLMO,0,380
BDEHIKNO,1,381
BCFHJLMP,0,382
ADEHJKMO,0,383
ACEGILMO,1,384
ACEHIKMP,1,385
ADEHJLMO,0,386
ADEHJKMP,0,387
ADFHILMO,0,388
BCEHJKMP,0,389
ADEHJKMP,0,390
BCFGJKMP,0,391
ACEHILMP,1,392
ACFGJLNO,1,393
ADEHJLMO,0,394
BDFGJKMP,0,395
BDEHJKMP,0,396
ADEHJLMP,0,397
ADEHJKMO,0,398
ACFGJKNO,1,399
ADFHJLMP,0,400
BCEHJKMP,0,401
BDEHJKMO,0,402
ACEHJKMO,0,403
ADFHJLMO,0,404
BCEHJKMO,0,405
ACFGJKNP,1,406
ACEGJKNP,1,407
BCEGJKMP,0,408
BDEHILMO,1,409
BDFHJLNO,0,410
ADEHJLMO,1,411
ACEGJKMO,1,412
ACEHILMO,1,413
ADEHJKMO,0,414
ACEHILMP,1,415
BDEHJLMP,0,416
BDFHJKNO,1,417
BDFHJKMP,0,418
ACEGJLMP,0,419
ACEGIKNP,1,420
ACFHJKNP,1,421
ADEHILMO,1,422
BCEHJKMP,0,423
ACEGJLMP,1,424
ADEHJLMO,0,425
ACEGILMP,1,426
ACFGIKNO,1,427
ACEHIKMP,1,428
ADEHJLMO,1,429
BDFGJLMP,0,430
ACEHIKMP,1,431
BDFHIKNO,1,432
BDEHJLMO,0,433
ACEHIKMP,1,434
BCEHIKNP,1,435
BCEHJKNP,0,436
ADEHJLMP,0,437
BDEHJKMP,0,438
BDFHJLMO,0,439
ACFGIKNP,1,440
ADFHJLMO,0,441
ACFGJLNP,1,442
ADEHILMO,1,443
BDFHJKMO,0,444
ADEHJLNO,0,445
ADFHJLMO,0,446
ACFHJKNP,1,447
BDFHILMO,0,448
ACEGJLMP,1,449
BCEHJKMO,0,450
BCEHJKMP,0,451
ACFGILNO,1,452
BCFHILMO,0,453
BDEHJKMO,0,454
ADEHJLMO,0,455
ACFHJKNO,1,456
BCEGJKMP,0,457
ACFHIKNO,1,458
ADEHJKMP,0,459
ADEGJLNO,1,460
ADEHJLMP,0,461
ACEGJKMP,1,462
BDFGJLMP,0,463
ADEHJKMO,0,464
BDFHJLMP,0,465
ADEHJLMP,0,466
ACEGILMO,1,467
BCEGJKNO,1,468
ACEGJLMP,1,469
ADEHJLMP,0,470
ACFGJKNO,1,471
ACFHJKNP,1,472
ACEGIKMO,1,473
BCEHILMO,0,474
BCFGIKNP,1,475
ACEGIKNO,1,476
BCFHIKNO,0,477
ACFHJKNO,1,478
ACFGIKNO,1,479
ADEGIKNO,1,480
ACFGJKNO,1,481
ADFHJKMO,0,482
BDFHJLMO,0,483
ACEHIKMP,1,484
ACEGILMO,1,485
BCEGILMO,1,486
ACEGILMP,1,487
BCEGJKMP,0,488
BDEHJKMO,0,489
BDEHJKMP,0,490
ACFHJLMP,1,491
ADFGJLMP,0,492
ACFGJKNO,1,493
ADEGILMP,1,494
ACFGJKNP,1,495
BDFHILNO,0,496
ACEGILMP,1,497
ACEGJLMP,0,498
BDEHJKMO,0,499
ADEGJLMP,0,500
ADEGJLMO,1,501
ADFGJLMP,0,502
ACFGJKNO,1,503
ADEHJKMP,1,504
ADFGJLNO,1,505
ADEHJLMP,0,506
BCEHJKMP,0,507
BDFHILMP,0,508
BDEHJKMP,0,509
ACFGIKNP,1,510
ACEHJKMP,0,511
BDEHJKMP,0,512
ADEGJLMO,1,513
ACFGJKNP,1,514
ADFHJLMP,0,515
BCEHJKMP,0,516
BDFGJLMP,0,517
BDFHILMO,0,518
BCEHIKMO,1,519
ACEHIKMP,1,520
BDEHJLMO,0,521
ADEGJLMO,1,522
BCEGIKNO,1,523
BCEHJKMO,0,524
BDFHJKMO,0,525
ADFHJLMP,0,526
BCEGJKMO,0,527
BDFHJLMP,0,528
ACFGJKNP,1,529
BDEHJKMO,0,530
ACEHJLMO,1,531
ACEGJKMP,1,532
BDEHJKMP,0,533
ACEGILMO,1,534
ACEHJKMP,1,535
ADEHJKMO,0,536
ACFHJLMO,0,537
ADEHJKMP,0,538
ADEHJLMO,0,539
BCFGJLMP,0,540
ACEHJKMP,1,541
BDFHJLMP,0,542
ACEHIKMP,1,543
BCEHJKMP,0,544
ADEHJLMP,1,545
BCFHJKMP,1,546
ACEGJLNP,1,547
BDEHJLMP,0,548
ACEHILMO,1,549
ACEHILMP,1,550
BCEHJLMP,0,551
ADEGJLMO,1,552
BCFGIKNO,1,553
ADEHILMO,0,554
ADEHJLMP,1,555
ADFGJKNP,1,556
ADFHJLMO,0,557
BDEHJKMO,0,558
ACEGILMP,1,559
BDEHILMO,1,560
ADEGJLMP,1,561
ADFGJLNO,1,562
BCEGJKMP,0,563
ACFGJKNO,1,564
ACFGJKNP,1,565
ADEHJLMO,0,566
BDEGIKMP,1,567
ADFHJLMP,0,568
BDEHJKMP,1,569
ACEHJLMP,1,570
ACEHJLMP,1,571
BCEHJKMP,0,572
BCEHJLMP,0,573
ADEHJKNO,0,574
BCFHILMO,0,575
ADFGJLNP,1,576
ACFGJKNP,1,577
BDEHJKMP,0,578
ADEHJLMP,1,579
ADEGIKMP,1,580
ACFHJKNP,1,581
BDEHJKMP,0,582
ACEGJKNO,1,583
ACEHJKMP,1,584
ACFGJKMP,1,585
ADFHJLMO,0,586
BDEHJKMO,0,587
BCEHJKMO,0,588
ACFGJKNO,1,589
BCEHILMP,1,590
BCEHJKMO,0,591
ACFGJKNO,1,592
ADFHJLMO,0,593
ACEHJLMP,1,594
ADEHILNO,0,595
ADFGJKNO,1,596
ACFGJKNO,1,597
ADEHJLMP,0,598
ADEHILMO,1,599
ACFGJKNP,1,600
ADEGJLMP,0,601
ACEHJKMO,0,602
ADFGIKNP,1,603
ADEHJKMP,0,604
BCFHJLMO,0,605
BCEGIKNO,1,606
BDEHJKMP,0,607
BDEHJKMP,0,608
ACEHILMP,1,609
BCEHJLMP,0,610
ACFGJKNO,1,611
ADEHJKMO,0,612
ACEHJLMO,0,613
BDEHJKMO,0,614
ACFHJLNO,1,615
BDEHJLMP,0,616
BDFHJKMO,0,617
ACFGILNO,1,618
ADEGILMP,1,619
ACEGJLMO,1,620
ACFGJLNO,1,621
BCEHIKMO,1,622
BDFHJKMP,0,623
ADFHJLMO,0,624
ACEGJLMO,1,625
ACEGJKNO,1,626
BDEHJKMO,0,627
BCEHJKMO,1,628
ACEGJLMP,0,629
ADEGJLMO,1,630
ADEGJLMP,1,631
BDEHJKMP,0,632
ACEGIKMP,1,633
ACEHJLMP,0,634
ACFGJKNO,1,635
BDEHJKMO,0,636
ADFHJLMO,0,637
ADEGIKNO,1,638
ADFGJKMP,0,639
ADEGJLMP,1,640
ADFGJKNO,1,641
ACEHIKMP,1,642
ADEGJLMO,1,643
BDEHJKMP,0,644
ACFHIKMO,1,645
ADEHJKMO,0,646
ACEGIKMP,1,647
ACEHIKMP,1,648
ACFHIKNP,1,649
ACFGJKNP,1,650
BCEHIKMO,1,651
BDEHJKMP,0,652
BDFHJLMO,0,653
ACEGIKMP,1,654
BCEHILMO,1,655
BDFHJLMP,0,656
ACFGJKNO,1,657
BDFHJKMO,0,658
ACEHIKMP,1,659
ACEHIKMP,1,660
ACEHJKMP,0,661
BCEHJKMP,0,662
ACEGIKMP,1,663
BCEHJKMO,0,664
BCEHJLMP,0,665
ACFGIKNO,1,666
BDFHILMO,0,667
BDFHJKMO,0,668
ACEGJLNP,1,669
BDEHJKMP,0,670
ADEHJKMP,0,671
BDFHJLMP,0,672
ACFGJKNP,1,673
ADEGJLMP,1,674
ADFHILMO,0,675
ADEHJLMO,0,676
ACFGJKNP,1,677
ACEGIKMP,1,678
ADEHJLMP,1,679
ADEHJKMP,0,680
ACEGJKNP,1,681
ADEHJLMO,1,682
BCEHJKMP,0,683
BDEHJLMP,0,684
BDFHJLMP,0,685
ADEHJLMO,0,686
ACEGIKMP,1,687
ACEGJLMP,1,688
BDEHILMP,1,689
ACFHJKNP,1,690
ADEHJLMO,0,691
ACEHILMP,1,692
ADFGJKNP,1,693
ACEHILMP,1,694
ADEHJKMP,0,695
BDEHILMP,1,696
ACFHJKNP,1,697
BDEHJKMP,0,698
ACEGIKNP,1,699
ADFHJLMP,0,700
BDEHJLMP,0,701
BDEHJKMP,0,702
BCEHIKMP,1,703
BDFGJLMP,0,704
ACFGJKNO,1,705
BDEHJLMO,0,706
BCEHJKMP,0,707
BDEHJKMP,0,708
ACEGILMP,1,709
ACFHIKMO,1,710
BCEHJKMO,0,711
ADEHJKMO,0,712
BCEHJKMP,0,713
ADEHJKNO,0,714
ADEGILMP,1,715
ACFGIKNP,1,716
BCEHJKMP,0,717
ACEHJLMP,1,718
ACEGJKMP,1,719
ADFHJLMP,0,720
ADEGJLMP,1,721
ADEHJKMO,0,722
BCFHIKNO,1,723
ADEHJKMP,0,724
ACEGIKMP,1,725
BDEHJKMP,0,726
ACEGJKNP,1,727
ACFHJKNO,1,728
BDFHJKMO,0,729
BDFHJKMO,0,730
BDFHJLMP,0,731
BDEHJLMO,0,732
BCFHJKNP,1,733
BCEHJKMP,0,734
ADEHJLMP,0,735
ACFHJKNP,1,736
BCEGJKMP,0,737
ADFHIKNP,1,738
ACFHJKNP,1,739
ADEHJLMP,0,740
BDEHJKMP,0,741
ACFGIKNO,1,742
ACFGJKNP,1,743
ADEGJKNP,1,744
BCEHJKMP,0,745
ACEGJLMP,1,746
BDEHJKNO,0,747
ADFHJLMO,0,748
ADEHJLMP,0,749
ADEHJKMP,0,750
ACFGJKNO,1,751
ADEHJKMO,0,752
BDFHJKMO,0,753
BCEHJKMP,0,754
ACFGIKNP,1,755
BDEHJKMP,0,756
ADEHJKMP,0,757
BDFGJKNO,1,758
BDEHJKMP,0,759
BDEGJKMP,0,760
ADEHJKMO,0,761
ACEGJLMO,1,762
ACEHJLMP,1,763
BDFHJLMO,0,764
ADFGIKNP,1,765
ADFHILMO,0,766
ADEGJKNP,1,767
ACEGJLMP,0,768
BDFHILMO,0,769
ACEHJKMP,1,770
ACFGJLNP,1,771
ACFGJKNP,1,772
BCFGILMO,0,773
ADFHJLMO,0,774
BDFHILMO,0,775
ADFHJLMO,0,776
ACEHJLMP,1,777
ACEHIKMP,1,778
ACEGIKMP,1,779
ADEHJLMP,0,780
ACEHIKMO,1,781
ACFGJLNP,1,782
ACEGIKNO,1,783
BDEHJKMO,0,784
ACEHJKMP,0,785
BCFGILMO,0,786
BCEGJKMP,0,787
BDEHJKMO,0,788
ACEGJLMO,1,789
ADEHJLMP,0,790
ADFHJLMP,0,791
ADFHJLMO,0,792
BDEHJKMO,1,793
ACFHIKNO,1,794
BDFHJKMO,0,795
BCEHJKMO,0,796
ACEHJKMP,0,797
ACEGIKNP,1,798
BDFHJKMP,0,799
ACEHJKMP,1,800
BDEHILMO,1,801
ADEGILMO,1,802
BDEHILMO,1,803
BDFHJKNP,1,804
BCEHJKMP,0,805
BDEHJLMP,0,806
ACFHJKNP,1,807
ADEHJKMP,0,808
BCFGIKNO,1,809
ACFHIKNP,1,810
ADEGILMP,1,811
ACFHIKMO,1,812
ACEHILMP,1,813
ACEHJLMP,1,814
BDEHJKMO,0,815
ADEHJKMO,0,816
BCEHJKMP,0,817
ACEGIKMP,1,818
ACFHJKMP,1,819
BDFHILMO,0,820
BDEHJKMP,0,821
BCEHJKMO,0,822
BDEGIKMP,1,823
ACEHJKMP,1,824
ADEHJLMP,0,825
ADEHJKMP,0,826
BDFHJKMP,0,827
ACEGIKNO,1,828
BDEHJKNO,0,829
ACFGIKNO,1,830
BCEHJLMP,0,831
ACFGJKNP,1,832
ACEGJLMP,1,833
BDFGJLMP,0,834
BDEHJKMP,0,835
ADEHJLNO,0,836
ADEGILMP,1,837
ADFGJLNP,1,838
ACEHJLMO,0,839
ADFHJLNO,0,840
ACEHJLMP,1,841
BCFHIKMO,0,842
ADEHJLMO,0,843
ADEHJKMO,0,844
BDFHJKMP,0,845
ACFGIKNP,1,846
ADFHJLMO,0,847
BDEHJLMP,0,848
ACEGJLNP,1,849
ACEHJKMP,1,850
ACEHIKMP,1,851
ACEGJKNP,1,852
BDFGJLMP,0,853
BCEHJKMP,0,854
ADFHJKMP,0,855
ACEGIKMP,1,856
ACEGJKNO,1,857
BCEGJKMP,0,858
ADEHJKMO,0,859
BDEHJKMP,0,860
ACEGJKMP,1,861
ADEHJLMO,0,862
BDFHJKMO,0,863
ADEGJKNO,1,864
ADFHJLMO,0,865
BCEHJKMO,0,866
ADEHJLMO,0,867
ACEHJLMO,0,868
ADEGILMO,1,869
ACEHIKMP,1,870
ADEGILMP,1,871
ADEHJLMP,0,872
ACEGJKNP,0,873
BCFHJKMO,0,874
ADEHJKMP,0,875
ACFGJKNO,1,876
ACEGILMO,1,877
BCEHJKMP,0,878
BCEHJLMP,0,879
BCFHILNO,0,880
ACEHJKMP,1,881
BCEGIKNO,1,882
BDEHJKMP,0,883
ADEHJLMP,0,884
ACFHJLNP,1,885
ADEHJLMP,1,886
BCEHJKMP,0,887
ADEGJLMO,1,888
BDEHJKMP,0,889
BDFHJLMP,0,890
ACFGJLNO,1,891
ADEGILMO,1,892
BCFHJKMP,1,893
ACEHIKMP,1,894
BCFHILMO,1,895
BDFHJLMO,0,896
BCFHJKMO,0,897
BCEHJKMO,0,898
ACEHILMP,1,899
BDEHJKMP,0,900
BDFHJKMP,0,901
BDFGJLMP,0,902
ADEGILMP,1,903
BCEHILMP,1,904
BDFHJKMO,0,905
ADEHJKMO,0,906
ACEGJLMP,1,907
BDFHILMO,0,908
ADEHJKMO,0,909
BDEHJLMP,0,910
ADEGILMP,1,911
BDFHJKMO,0,912
ACFGIKNO,1,913
ACFGJKNP,1,914
BDFGJLMP,0,915
ADFGJKNO,1,916
BCEHJKMP,0,917
BDEHJKNO,0,918
ACEHIKMP,1,919
BDFGIKNO,1,920
BCEHJKMP,0,921
ADEHJLMP,1,922
BDFHJKMP,0,923
ACFGJKNP,1,924
BDEHILMO,1,925
BDEHJKMP,0,926
ADEHIKMP,1,927
ADEHJLMP,0,928
ACFGJLMO,1,929
ADEHJLMP,0,930
BDEHJKMO,0,931
BDEHJKMO,0,932
BDFHJLMP,0,933
BCFHIKNP,1,934
BDFHJKMP,0,935
ACEHIKNO,1,936
BCEGJKMP,0,937
ACEHJKNO,1,938
BDFGJKMP,0,939
ADEHJLMO,0,940
BCEHJKMP,0,941
BDFHILMO,0,942
BDFHIKMO,0,943
ADEHJLMP,0,944
ADFHJKMO,0,945
ADFHJLMO,0,946
ACFGJKNO,1,947
ACFGJKNO,1,948
BCFHJKMO,0,949
ADEHJLMP,0,950
ADEHJKMP,0,951
ADEGJLMP,1,952
ACEGJLMO,1,953
ACEHJKMP,1,954
ACFGIKNP,1,955
ADFHJKNO,0,956
ACEHIKMP,1,957
ACEHJKMP,1,958
ADFHJLMO,0,959
BDFHJLNP,1,960
ADEHJKMO,0,961
ACFHJKNP,1,962
ACFHJKNP,1,963
BCEHILMO,1,964
ADEHILMO,1,965
ADFGIKNP,1,966
BCEHILNO,0,967
ACEHILMP,1,968
ACFGIKNP,1,969
ADFGILMP,0,970
BDEGJKMP,0,971
BCFHIKMO,1,972
BDEHJKMO,0,973
ADEHJKMO,0,974
BDEHJLMO,0,975
BCEHJKMP,0,976
ADEHJLMO,0,977
ADEHILMP,1,978
BDEGJKMP,1,979
BCEGJKMP,0,980
ACEGJLNP,1,981
ADEHILMO,1,982
BCEHJKMO,0,983
BDEHJKMO,0,984
ACFGJKNO,1,985
ACEGJKMP,1,986
BDFHJKMP,0,987
BDFHJKMO,0,988
BDFHILMO,0,989
BDFHIKMO,0,990
BDFHJLMP,0,991
BCFHIKMP,1,992
BCEHJKMO,0,993
ADEHJKMO,0,994
BCEHJKMP,0,995
ADEHJLMO,0,996
ADEHJLMP,0,997
BDFHILMO,0,998
ACFHJKNP,1,999
BDEHILMP,1,1000
ACFGIKNP,1,1001
BDEHJKMO,0,1002
ADEHJKMP,0,1003
ACEGIKNO,1,1004
ACEGIKMP,1,1005
BCEHJKMO,0,1006
BCEHIKMO,1,1007
ADEHJKMP,1,1008
ACEHILMP,1,1009
BDEGILMO,1,1010
BDEHILMP,1,1011
ADEHJLMO,0,1012
BCFHJKMO,0,1013
ACEHJKMP,1,1014
ADEHJLMO,0,1015
BDEHJKMO,0,1016
ADEHJLMP,0,1017
ADFHJLMP,0,1018
ADEGILMO,1,1019
BCEHJKMO,0,1020
ACFGJKNO,1,1021
ADEGJLMO,1,1022
ACEGJKNO,1,1023
ACEHJKMP,1,1024
BDEHJKMO,0,1025
BDFHJLMO,0,1026
ADEGILMO,1,1027
ACEHIKMP,1,1028
ACEGILMP,1,1029
ACFGJKNP,1,1030
ACEHJKNO,1,1031
BDEHJKMO,0,1032
BCEHJKMO,0,1033
ADFHJKMP,0,1034
ADFGJLNP,1,1035
BCEHJKMP,0,1036
BDEHJKMP,0,1037
ADEGILMO,1,1038
ACFGJKNP,1,1039
ADEGILMO,1,1040
BCEHJKMP,0,1041
ACEGIKNP,1,1042
ADEHJLMO,0,1043
ACFGIKNP,1,1044
ACEHJLMO,1,1045
BCEHJLMP,0,1046
BCFHILMO,0,1047
ACFGJKNO,1,1048
ACFGIKNP,1,1049
ACFGIKNO,1,1050
ADEHJKMO,0,1051
BDEHJKMP,1,1052
ACFHIKNO,1,1053
ACFGJKNP,1,1054
BDEHJKMP,0,1055
ACFGJKNO,1,1056
ACFHIKNO,1,1057
ADEHIKMO,1,1058
BCFHIKMO,0,1059
ACFGJKNO,1,1060
ADFHJLMO,0,1061
ADFHJKMO,0,1062
ADFGILMP,1,1063
ADEGJLMP,1,1064
ACFGJKNO,1,1065
BCEHIKMO,0,1066
ACEHJLMP,0,1067
ADEGJLMO,1,1068
BDEHJKMP,0,1069
BCEHIKMP,1,1070
ADFHJLMP,0,1071
ADFHJLMO,0,1072
ADFGJKNO,1,1073
ACEGIKMP,1,1074
ADEHILMO,1,1075
BCEHJKMO,0,1076
BDFHJLMP,0,1077
ACFGJKNP,1,1078
BDFHJLMO,0,1079
